week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
8,2025-10-26,NO,TB,Home,4:05 PM,7,,,,High,0.8095,,,,,,,0.7388
8,2025-10-26,NYG,PHI,Away,1:00 PM,7,,,,High,0.8425,,,,,,,0.7607
8,2025-10-26,NYJ,CIN,Away,1:00 PM,7,,,,Low,0.2632,,,,,,,0.2486
8,2025-10-26,PHI,NYG,Home,1:00 PM,7,,,,Low,0.2,,,,,,,0.2967
8,2025-10-26,PIT,GB,Home,8:20 PM,10,,,,Medium,0.5556,,,,,,,0.5322
8,2025-10-26,SF,HOU,Away,1:00 PM,7,,,,Low,0.5556,,,,,,,0.4492
8,2025-10-26,TB,NO,Away,4:05 PM,6,,,,Low,0.2326,,,,,,,0.2273
8,2025-10-26,TEN,IND,Away,4:25 PM,7,,,,Low,0.3937,,,,,,,0.3687
8,2025-10-27,WSH,KC,Away,8:15 PM,8,,,,Low,0.3704,,,,,,,0.3046
9,2025-11-03,ARI,DAL,Away,8:15 PM,15,,,,Medium,0.5556,,,,,,,0.5365
9,2025-11-02,ATL,NE,Away,1:00 PM,7,,,,Medium,0.6241,,,,,,,0.5452
9,2025-10-30,BAL,MIA,Away,8:15 PM,4,,,,Low,0.3333,,,,,,,0.369
9,2025-11-02,BUF,KC,Home,4:25 PM,7,,,,Medium,0.5968,,,,,,,0.5451
9,2025-11-02,CAR,GB,Away,1:00 PM,7,,,,High,0.7826,,,,,,,0.7406
9,2025-11-02,CHI,CIN,Away,1:00 PM,7,,,,Medium,0.6296,,,,,,,0.5443
9,2025-11-02,CIN,CHI,Home,1:00 PM,7,,,,Low,0.4132,,,,,,,0.4212
9,2025-11-03,DAL,ARI,Home,8:15 PM,8,,,,Low,0.4878,,,,,,,0.4322
9,2025-11-02,DEN,HOU,Away,1:00 PM,7,,,,Low,0.5,,,,,,,0.4236
9,2025-11-02,DET,MIN,Home,1:00 PM,13,,,,Low,0.4673,,,,,,,0.4625
9,2025-11-02,GB,CAR,Home,1:00 PM,7,,,,Low,0.2597,,,,,,,0.3723
9,2025-11-02,HOU,DEN,Home,1:00 PM,7,,,,Medium,0.5455,,,,,,,0.51
9,2025-11-02,IND,PIT,Away,1:00 PM,7,,,,Medium,0.6491,,,,,,,0.5475
9,2025-11-02,JAX,LV,Away,4:05 PM,14,,,,Low,0.5556,,,,,,,0.4502
9,2025-11-02,KC,BUF,Away,4:25 PM,6,,,,Low,0.4464,,,,,,,0.3748
9,2025-11-02,LAC,TEN,Away,1:00 PM,10,,,,Low,0.3571,,,,,,,0.378
9,2025-11-02,LAR,NO,Home,4:05 PM,14,,,,High,0.8148,,,,,,,0.7846
9,2025-11-02,LV,JAX,Home,4:05 PM,14,,,,Low,0.4878,,,,,,,0.446
9,2025-10-30,MIA,BAL,Home,8:15 PM,4,,,,High,0.7101,,,,,,,0.7204
9,2025-11-02,MIN,DET,Away,1:00 PM,10,,,,Low,0.5726,,,,,,,0.4967
9,2025-11-02,NE,ATL,Home,1:00 PM,7,,,,Low,0.4167,,,,,,,0.4293
9,2025-11-02,NO,LAR,Away,4:05 PM,7,,,,Low,0.2273,,,,,,,0.1646
9,2025-11-02,NYG,SF,Home,1:00 PM,7,,,,Low,0.3788,,,,,,,0.4111
9,2025-11-02,PIT,IND,Home,1:00 PM,7,,,,Low,0.3937,,,,,,,0.3932
