week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
2,2025-09-14,KC,PHI,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,KC,NYG,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,KC,BAL,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-06,KC,JAX,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,KC,DET,Home,8:20 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,KC,LV,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
8,2025-10-27,KC,WSH,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,KC,BUF,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
10,,KC,BYE,Home,,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,KC,DEN,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,KC,IND,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-27,KC,DAL,Away,4:30 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,KC,HOU,Home,8:20 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,KC,LAC,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,KC,TEN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-25,KC,DEN,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,KC,LV,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-05,LAC,KC,Home,8:00 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-15,LAC,LV,Away,10:00 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,LAC,DEN,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,LAC,NYG,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,LAC,WSH,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
